1,AAL,AA,American Airlines Cargo,United States
2,CRG,2G,Cargoitalia,Italy
4,BPA,BV,Blue Panorama Airlines,Italy
5,COA,CO,Continental Airlines,United States
6,DAL,DL,Delta Air Lines,United States
9,GMG,Z5,GMG Airlines,Bangladesh
10,IRP,2F,Payam Air,Iran
11,MSI,M9,Motor Sich JSC Airlines,Ukraine
13,GBK,GY,Gabon Airlines,Gabon
14,ACA,AC,Air Canada,Canada
16,UAL,UA,United Airlines Cargo,United States
17,LMP,U3,Air Plus Argentina,Argentina
18,CDN,CP,Canadian Airlines International,Canada
19,PAS,6D,Pelita Air Service,Indonesia
20,GEC,LH,Lufthansa Cargo,Germany
21,KRP,V3,Carpatair,Romania
22,LDE,5U,Lineas Aereas Del Estado,Argentina
23,FDX,FX,FedEx Express,United States
24,EAE,EA,European Air Express,Germany
26,SOV,6W,Saravia,Russia
27,ASA,AS,Alaska Airlines,United States
29,VTS,3K,Everts Air Cargo,United States
30,TGA,YT,Air Togo,Togo
31,PRF,PW,Precision Air,Tanzania
32,HCY,ZU,Helios Airways,United Kingdom
33,TLR,7Q,Air Libya,Libya
34,GNR,GC,Gambia International Airlines,Gambia
35,ARE,4C,Aires Colombia (Aerovias de Integracion),Colombia
36,TWN,EC,Avialeasing,Uzbekistan
37,USA,US,US Airways,United States
38,TDM,TQ,Tandem Aero,Moldova
40,HFY,5K,Hi Fly,Portugal
41,JST,JQ,Jetstar,Australia
42,VRG,RG,VARIG Brazilian Airlines,Brazil
43,HDA,KA,Dragonair,Hong Kong
44,ARG,AR,Aerolineas Argentinas,Argentina
45,LAN,LA,LAN Airlines,Chile
46,MGE,,Asia Pacific Airlines,United States
47,TAP,TP,TAP-Air Portugal,Portugal
48,CYP,CY,Cyprus Airways,Cyprus
49,BWG,QW,Blue Wings,Germany
50,OAL,OA,Olympic Airways,Greece
51,LLB,LB,Lloyd Aereo Boliviano (LAB),Bolivia
52,RPA,RW,Republic Airlines,United States
53,EIN,EI,Aer Lingus Cargo,Ireland
55,AZA,AZ,Alitalia,Italy
56,YVK,YK,Cyprus Turkish Airlines,North Cyprus
57,AFR,AF,Air France,France
58,IAC,IC,Indian Airlines,India
60,FWQ,YC,Flight West Airlines,Australia
61,SEY,HM,Air Seychelles,Seychelles
62,SKA,,Skyjet Brasil,Brazil
63,ACI,SB,Air Caledonie International,New Caledonia
64,CSA,OK,Czech Airlines,Czech Republic
65,SVA,SV,Saudi Airlines Cargo,Saudi Arabia
67,AEY,I9,Air Italy,Italy
68,LAM,TM,LAM-Linhas Aereas de Mozambique,Mozambique
69,LPR,MJ,LAPA Lineas Aereas Privadas Argentinas,Argentina
70,SYR,RB,Syrianair,Syria
71,ETH,ET,Ethiopian Airlines,Ethiopia
72,GFA,GF,Gulf Air,Bahrain
73,IAW,IA,Iraqi Airways,Iraq
74,KLM,KL,KLM Cargo,Netherlands
75,IBE,IB,Iberia,Spain
76,MEA,ME,Middle East Airlines,Lebanon
77,MSR,MS,Egyptair,Egypt
78,SER,JR,Aero California,Mexico
79,PAL,PR,Philippine Airlines,Philippines
80,LOT,LO,LOT Polish Airlines,Poland
81,QFA,QF,Qantas Airways Ltd,Australia
82,BEL,SN,Brussels Airlines,Belgium
83,SAA,SA,South African Airways Cargo,South Africa
83,EXY,XZ,South African Express Airways,South Africa
86,ANZ,NZ,Air New Zealand,New Zealand
87,MXU,,Maximus Air Cargo,Abu Dhabi
88,ARD,2B,ATA Aerocondor Transportes Aéreos,Portugal
89,CQH,9S,Spring Airlines,China PRC
90,KFR,IT,Kingfisher Airlines,India
91,FCA,DP,First Choice Airways,United Kingdom
92,RKA,RK,Air Afrique,Ivory Coast
93,KNI,KD,KD Avia,Russia
94,CGK,C4,Click Airways,Sharjah
95,CHP,6A,AVIACSA- Consorcio Aviaxsa SA de CV,Mexico
96,IRA,IR,Iran Air,Iran
97,KLN,K8,Kalingrad Air Enterprise,Russia
98,AIC,AI,Air India,India
99,HAS,HX,Hamburg Airlines,Germany
100,JQA,JQ,Trans Jamaican Airlines,Jamaica
101,DLA,EN,Air Dolomiti SPA,Italy
104,EWG,EW,Eurowings,Germany
105,FIN,AY,Finnair Cargo,Finland
106,BWA,BW,Caribbean Airlines,Trinidad & Tobago
107,CRF,OR,Crimea Air,Ukraine
108,ICE,FI,Icelandair Cargo,Iceland
109,MLI,L9,Air Mali S.A.,Mali
110,AYC,AO,Aviaco,Spain
111,BHS,UP,Bahamasair,Bahamas
112,CKK,CK,China Cargo Airlines,China PRC
113,DOA,DO,Dominicana de Aviacion,Dominican Republic
113,KIL,GW,Kuban Airlines,Russia
114,ELY,LY,El Al Israel Airlines,Israel
115,JAT,JU,Jat Airways,Serbia
116,BHT,C6,Bright Air,Netherlands
117,SAS,SK,SAS-Scandinavian Airlines System,Denmark
118,DTA,DT,TAAG Angola Airlines,Angola
119,ALM,LM,ALM Airline,Cura‡ao
120,KOR,JS,Air Koryo,North Korea
121,ADE,ZY,Ada Air,Albania
122,LOG,LC,Loganair,United Kingdom
123,RON,ON,Our Airline,Nauru
124,DAH,AH,Air Algerie,Algeria
125,BAW,BA,British Airways,United Kingdom
126,GIA,GA,Garuda Indonesia,Indonesia
127,PRL,J5,Aviaprima Sochi Airlines,Russia
128,AVE,VE,Avensa,Venezuela
129,MPH,MP,Martinair,Netherlands
130,UKA,UK,KLCuk,United Kingdom
131,JAL,JL,Japan Airlines,Japan
132,MXA,MX,Mexicana de Aviación,Mexico
133,LRC,LR,TACA/LACSA-Lineas Aéreas Costarricenses,Costa Rica
134,AVA,AV,Avianca,Colombia
135,VTA,VT,Air Tahiti,French Polynesia
136,CUB,CU,Cubana,Cuba
137,AES,VX,ACES-Aerolineas Central de Colombia,Colombia
137,HFL,,Hanseflug,Germany
139,AMX,AM,Aeromexico,Mexico
140,LIA,LI,LIAT (1974),Antigua & Barbuda
141,RSN,ZC,Royal Swazi National Airways,Swaziland
142,BLF,KF,Blue1,Finland
143,AUT,AU,Austral Lineas Aereas,Argentina
144,RTM,7T,Trans Am,Ecuador
145,LCO,UC,LAN Cargo,Chile
146,CCM,XK,CCM Airlines,France
147,RAM,AT,Royal Air Maroc,Morocco
148,LAA,LN,Libyan Airlines,Libya
149,LGL,LG,Luxair,Luxembourg
150,TUI,UG,Tuninter,Tunisia
151,JAV,R5,Jordan Aviation,Jordan
152,LAV,VH,Aeropostal Alas de Venezuela,Venezuela
154,CNO,SK,SAS Norge,Norway
155,DHX,ES,DHL/SNAS,Bahrain
156,SET,EH,SAETA-Soc.Ecuatoriana de Transp.Aereos,Ecuador
157,QTR,QR,Qatar Airways Cargo,Qatar
158,AKC,ZU,ARCA Aerovias Colombianas,Colombia
160,CPA,CX,Cathay Pacific Airways,Hong Kong
161,CAW,MN,Kulula.com,South Africa
162,PAO,PH,Polynesian Airlines,Samoa
164,CRN,7L,Aero Caribbean,Cuba
165,ADR,JP,Adria Airways,Slovenia
167,AML,QM,Air Malawi,Malawi
168,AZW,UM,Air Zimbabwe,Zimbabwe
169,HHN,HR,Hahn Air,Germany
170,TNA,GE,Transasia Airways,Taiwan ROC
171,GBL,GT,GB Airways,United Kingdom
172,CLX,CV,Cargolux Airlines,Luxembourg
173,HAL,HA,Hawaiian Airlines,United States
174,MRT,MR,Air Mauritanie,Mauritania
175,CSQ,II,IBC Airways Inc,United States
176,UAE,EK,Emirates SkyCargo,Dubai
180,KAL,KE,Korean Air,South Korea
181,UDN,Z6,Dniproavia,Ukraine
182,MAH,MA,Malev Hungarian Airlines,Hungary
183,VLO,LC,VarigLog,Brazil
185,AGN,GN,Air Gabon,Gabon
186,NMB,SW,Air Namibia,Namibia
187,UCR,DW,ACR Aero-Charter Airlines,Ukraine
188,AAQ,3J,Air Alliance Inc,Canada
189,JAE,JI,Jade Cargo International,China PRC
190,TPC,TY,Air Caledonie,France
191,ISS,IG,Meridiana,
192,SLM,PY,Surinam Airways,Surinam
193,SOL,IE,Solomon Airlines,Solomon Is
194,SNB,NB,Sterling,Denmark
195,SDM,FV,Rossiya Airlines,Russia
196,LAZ,LZ,Balkan Bulgarian Airlines,Bulgaria
197,ATC,TC,Air Tanzania,Tanzania
198,AHG,G3,Aerochago Airlines,Dominican Republic
199,TAR,TU,Tunisair,Tunisia
200,SUD,SD,Sudan Airways,Sudan
201,AJM,JM,Air Jamaica,Jamaica
202,TAI,TA,TACA International Airlines/Groupo TACA,El Salvador
203,CPI,5J,Cebu Pacific Air,Philippines
204,TVR,T6,Tavrey Airlines,Ukraine
205,ANA,NH,All Nippon Airways,Japan
206,KAV,7F,Air Kufra,Libya
207,AZR,QC,Air Zaire,Congo DR
209,UBA,8M,Myanmar Airways International,Myanmar
210,PLI,PL,Aeroperu,Peru
211,GAP,2P,Air Philippines,Philippines
212,AEU,5W,Astraeus,United Kingdom
212,LCI,LF,Lufthansa Cargo India,India
213,DSL,D8,Diamond Sakha Airlines,Russia
214,PIA,PK,Pakistan International Airlines,Pakistan
215,ESL,P7,Russian Sky Airlines,Russia
216,PMK,3D,Palair Macedonia,Macedonia
217,THA,TG,Thai Airways,Thailand
218,AVN,NF,Air Vanuatu,Vanuatu
219,CRQ,YN,Air Creebec,Canada
220,DLH,LH,Lufthansa,Germany
221,TXC,AL,Transaviaexport Airlines,Belarus
224,RYR,FR,Ryanair,Ireland
225,JND,K5,Air East Africa,Kenya
226,VBW,2J,Air Burkina,Burkina Faso
227,TWE,TQ,Transwede Airways AB,Sweden
228,GNC,LQ,Air Guinea Cargo,Equatorial Guinea
229,KAC,KU,Kuwait Airways,Kuwait
230,CMP,CM,COPA Airlines,Panama
231,LDA,NG,Lauda Air,Austria
232,MAS,MH,MASKargo,Malaysia
234,JAS,JD,Japan Air System,Japan
235,THY,TK,Turkish Airlines,Turkey
236,BMA,BD,bmi Cargo,United Kingdom
238,AIZ,IZ,Arkia-Israeli Airlines,Israel
239,MAU,MK,Air Mauritius,Mauritius
240,GUG,GU,TACA/Aviateca,Guatemala
242,SWD,A4,Southern Winds,Argentina
244,THT,TN,Air Tahiti Nui,French Polynesia
245,FAB,7F,First Air,Canada
246,VAT,OT,Avant Airlines,Chile
246,TIS,UZ,Tesis Aviation Enterprise,Russia
247,,LF,Linjeflyg,Sweden
247,EZX,Z7,Zimbabwe Express Airlines,Zimbabwe
248,RIG,GV,Riga Airlines,Latvia
249,BBR,S3,SBA Airlines,Venezuela
250,UZB,HY,Uzbekistan Airways,Uzbekistan
251,RUS,C9,Cirrus Airlines,Germany
252,SUF,PI,Sunflower Airlines,Fiji
253,OAA,VQ,Impulse Airlines,Australia
254,TCI,QW,Turks Air,Turks & Caicos Is
255,AFG,FG,Ariana Afghan Airlines,Afghanistan
257,AUA,OS,Austrian Cargo,Austria
258,MDG,MD,Air Madagascar,Madagascar
260,FJI,FJ,Air Pacific,Fiji
262,SVR,U6,Ural Airlines,Russia
263,VLE,VA,Volare Airlines,Italy
264,NES,JH,Nordeste-Linhas Aereas Regionais,Brazil
266,TFL,OR,Arkefly,Netherlands
266,LTU,LT,LTU International Airways,Germany
267,BEE,BE,FlyBE,United Kingdom
268,AAY,G4,Allegiant Air,United States
269,TAE,EQ,TAME-Linea Aerea del Ecuador,Ecuador
270,TMA,TL,Trans Mediterranean Airways,Lebanon
271,SAH,W7,Sayakhat Air Company,Kazakhstan
272,CKS,K4,Kalitta Air,United States
273,SHK,7Q,Shorouk Air,Egypt
275,ASU,5L,Aerosur,Bolivia
276,SCW,TF,Malmö Aviation,Sweden
277,VLK,XF,Vladivostok Air,Russia
278,STU,FS,STAF Airlines,Argentina
279,ITF,IT,Air Inter,France
281,ROT,RO,TAROM-Romanian Air Transport,Romania
282,ISV,WC,Islena Airlines,Honduras
283,MLV,RM,Air Moldova International,Moldova
284,TCG,T2,Thai Air Cargo,Thailand
285,RNA,RA,Nepal Airlines,Nepal
286,PUA,PU,PLUNA,Uruguay
287,ANT,4N,Air North,Canada
288,AHK,LD,Air Hong Kong,Hong Kong
289,MGL,OM,MIAT-Mongolian Airlines,Mongolia
290,BBD,BF,Bluebird Cargo,Iceland
291,ORB,R2,Orenair,Russia
292,AFM,ZL,Affretair,Zimbabwe
293,RSL,SL,Rio-Sul Servicos Aereos Regionais SA,Brazil
295,WIA,WM,Windward Island Airways,Cura‡ao
296,LLR,CD,Air India Regional,India
297,CAL,CI,China Airlines,Taiwan ROC
298,UTA,UT,UTair Aviation,Russia
300,,,GlobalApexAir,United Kingdom
301,GAK,5S,Global Aviation and Services,Libya
302,SKW,OO,SkyWest Airlines,United States
303,AWI,ZW,Air Wisconsin Airlines,United States
305,TOW,FF,Tower Air,United States
306,KAP,9K,Cape Air,United States
307,CWC,WE,Centurion Air Cargo,United States
311,VGD,,Vanguard Airlines,United States
312,JOL,IP,Atyrau Airways,Kazakhstan
316,AUL,5N,Aeroflot-Nord,Russia
317,AFJ,3A,Alliance Airlines,United States
318,ABD,CC,Air Atlanta Icelandic,Iceland
319,EXV,8D,Expo Aviation,Sri Lanka
321,,QP,Starlight Airlines,Dubai
324,CDG,SC,Shandong Airlines,China PRC
325,PLR,J3,Northwestern Air Lease,Canada
328,NAX,DY,Norwegian Air Shuttle,Norway
329,PEM,PD,Pemair,Canada
330,FWL,RF,Florida West International Airways,United States
331,RZO,S4,SATA International,Azores
332,TRS,FL,AirTran,United States
333,GOE,GO,GO,United Kingdom
334,SAM,MM,Sociedad Aeronautica de Medellin (SAM),Colombia
336,AAG,7M,Air Atlantique,United Kingdom
337,SCX,SY,Sun Country Airlines,United States
338,RVV,RV,Reeve Aleutian Airways,United States
339,PEN,KS,Penair,United States
340,FBF,FB,Fine Air Services,United States
341,EEA,EU,Ecuatoriana Airlines,Ecuador
342,POT,YQ,Polet Cargo Airlines,Cyprus
343,VSP,VP,VASP,Brazil
344,LYC,L2,Lynden Air Cargo,United States
345,NAC,NC,Northern Air Cargo,United States
346,VAP,9R,Phuket Airlines,Thailand
348,GJB,TY,Trans Air Link,United States
350,MVR,6M,Maverick Airways,United States
352,MPD,A7,Air Comet,Spain
353,JTA,NU,Japan TransOcean Air,Japan
354,KHO,KO,Khors Aircompany,Ukraine
355,ESF,E7,Estafeta Carga Aerea,Mexico
356,MUI,P6,Trans Air,United States
357,GAA,HL,Business Express (Delta Connection),United States
358,GCO,GR,Gemini Air Cargo,United States
359,URN,3T,Turan Air,Azerbaijan
362,FJE,Y7,Silverjet Cargo/Flyjet,United Kingdom
363,CHQ,US,Chautauqua Airlines,United States
366,AMT,TZ,ATA Airlines,United States
367,MAK,IN,Macedonian Airlines-MAT,Macedonia
369,GTI,5Y,Atlas Air,United States
372,LDI,L4,Lauda Air Italy,Italy
373,CTT,DG,Custom Air Transport,United States
374,MCK,CC,MacAir Airlines,Australia
375,SWI,SM,Sunworld International Airlines,United States
376,BET,,BETA Cargo - Brasilian Express Transportes Aéreos,Brazil
378,CAY,KX,Cayman Airways,Cayman Is
379,LBY,LZ,Belle Air,Albania
381,VES,VI,Vieques Air Link,Puerto Rico
383,RNL,QL,Aero Lanka,Sri Lanka
384,ROA,QQ,Reno Air,United States
385,LKR,6F,Laker Airways,United States
386,AAI,AX,Air Aurora,United States
386,MXJ,MY,Maxjet Airways,United States
388,PXA,KW,Pan American World Airways,United States
390,AEE,A3,Aegean Airlines,Greece
391,MBN,Q3,Zambian Airways,Zambia
394,DJA,HO,Antinea Airlines,United Kingdom
399,KKB,WV,Air South Airlines,United States
400,PNW,PF,Palestinian Airlines,Palestine
401,AWE,HP,America West Airlines,United States
403,PAC,PO,Polar Air Cargo,United States
405,SCH,AW,Schreiner Airways,Netherlands
406,UPS,5X,UPS Airlines,United States
407,SNG,V7,Air Senegal International,Senegal
408,LCG,6V,Lignes Aeriennes Congolaises - LAC,Congo DR
409,MGX,YM,Montenegro Airlines,Serbia
410,AZS,ZR,Aviacon Zitotrans,Russia
412,VDA,VI,Volga-Dnepr Airlines,Russia
414,LOF,AX,Trans States Airlines,United States
416,NCR,N8,National Airlines,United States
417,BRC,E6,Bringer Air Cargo,Brazil
420,IKA,GI,Itek Air,Kyrgyzstan
421,SBI,S7,S7 Airlines,Russia
423,BCS,QY,European Air Transport,Belgium
424,SCI,C7,Special Cargo Airlines,Russia
425,MTW,YD,Mauritania Airways,Mauritania
426,CJC,9L,Colgan Air,United States
427,FWI,TX,Air Caraibes,Guadaloupe
428,MVL,H5,Magadan Airlines,Russia
429,RDN,D7,Dinar Lineas Aereas,Argentina
430,FLG,9E,Pinnacle Airlines,United States
435,,3X,Premier Trans Aire,United States
436,LAJ,KJ,British Mediterranean Airways,United Kingdom
438,SHY,,Sky Airlines,Turkey
439,AAF,ZI,Aigle Azur Transport Aériens,France
442,FIF,OF,Air Finland,Finland
444,KZU,GO,ULS Airlines Cargo,Turkey
445,NZM,NM,Mount Cook,New Zealand
449,GFT,3M,Gulfstream International Airlines,United States
450,RLC,,Avial Air Company,Russia
452,KZK,9Y,Air Kazakhstan,Kazakhstan
453,MEP,YX,Midwest Airlines,United States
454,GIP,2U,Air Guinee Express,Guinea
455,NAO,XG,North American Airlines,United States
457,CXT,DQ,Coastal Air Transport,Virgin Is (USA)
459,RWD,WB,Rwandair Express,Rwanda
462,LNE,XL,LAN Ecuador,Ecuador
463,AZQ,ZP,Silk Way Airlines,Azerbaijan
464,CFS,EM,Empire Airlines,United States
465,KZR,KC,Air Astana,Kazakhstan
465,KZR,,Air Astana,Kazakhstan
466,AFX,5Z,Airfreight Express,United Kingdom
467,EZE,T3,Eastern Airways,United Kingdom
468,WOA,WO,World Airways,United States
469,DSM,4M,LAN Argentina,Argentina
470,SGK,K9,Skyward Aviation,Canada
471,AMW,ZV,Air Midwest,United States
473,XLF,SE,XL Airways France,France
474,IBB,NT,Binter Canarias,Canary Is
475,ECA,UI,Eurocypria Airlines,Cyprus
